"","country","year","onset","instab","warl","gdpenl","lpopl1","lmtnest","ncontig","Oil","nwstate","polity2l","ethfrac","relfrac"
"3486","GABON",1964,0,0,0,2.37299990653992,6.159095287323,0.0676586478948593,0,0,0,-7,0.688142776489258,0.454999983310699
"3487","GABON",1965,0,0,0,2.46199989318848,6.16751670837402,0.0676586478948593,0,0,0,-7,0.688142776489258,0.454999983310699
"3488","GABON",1966,0,0,0,2.58699989318848,6.17794418334961,0.0676586478948593,0,0,0,-7,0.688142776489258,0.454999983310699
"3489","GABON",1967,0,0,0,2.69000005722046,6.18620872497559,0.0676586478948593,0,0,0,-7,0.688142776489258,0.454999983310699
"3490","GABON",1968,0,0,0,2.7260000705719,6.1944055557251,0.0676586478948593,0,0,0,-7,0.688142776489258,0.454999983310699
"3491","GABON",1969,0,0,0,3.31100010871887,6.2045578956604,0.0676586478948593,0,1,0,-9,0.688142776489258,0.454999983310699
"3492","GABON",1970,0,0,0,3.65400004386902,6.21260595321655,0.0676586478948593,0,1,0,-9,0.688142776489258,0.454999983310699
"3493","GABON",1971,0,0,0,3.7039999961853,6.22257614135742,0.0676586478948593,0,1,0,-9,0.688142776489258,0.454999983310699
"3494","GABON",1972,0,0,0,3.86800003051758,6.26339817047119,0.0676586478948593,0,1,0,-9,0.688142776489258,0.454999983310699
"3495","GABON",1973,0,0,0,4.04699993133545,6.30991840362549,0.0676586478948593,0,1,0,-9,0.688142776489258,0.454999983310699
"3496","GABON",1974,0,0,0,4.17899990081787,6.35957384109497,0.0676586478948593,0,1,0,-9,0.688142776489258,0.454999983310699
"3497","GABON",1975,0,0,0,5.03000020980835,6.40852880477905,0.0676586478948593,0,1,0,-9,0.688142776489258,0.454999983310699
"3498","GABON",1976,0,0,0,5.69000005722046,6.45676946640015,0.0676586478948593,0,1,0,-9,0.688142776489258,0.454999983310699
"3499","GABON",1977,0,0,0,6.96500015258789,6.50428819656372,0.0676586478948593,0,1,0,-9,0.688142776489258,0.454999983310699
"3500","GABON",1978,0,0,0,6.17000007629395,6.54821920394897,0.0676586478948593,0,1,0,-9,0.688142776489258,0.454999983310699
"3501","GABON",1979,0,0,0,5.40799999237061,6.59030103683472,0.0676586478948593,0,1,0,-9,0.688142776489258,0.454999983310699
"3502","GABON",1980,0,0,0,4.84200000762939,6.63463354110718,0.0676586478948593,0,1,0,-9,0.688142776489258,0.454999983310699
"3503","GABON",1981,0,0,0,4.79699993133545,6.68085479736328,0.0676586478948593,0,1,0,-9,0.688142776489258,0.454999983310699
